Id	Description	Qty	Unit	Designators
1	Cable, 3 x 0.25 mm²	0	m	icm-to-coil-wire
2	Connector, 1287013900, male, 4 pins	1		coil
3	Connector, 261205289, male, 4 pins	1		icm-to-coil
4	Connector, 261205351, male, 4 pins	1		icm-to-ecu
